doc_id,year,member,pages,doc_kind,orientation,entry_style,density,legibility,notes,inv_year,inv_member,cluster
8217571,2020,Gus M. Bilirakis,1,ptr_form,rotated90,typed,sparse,high,"Formulaire officiel tourne 90, tape (FORD, REGIONS FINANCIAL CORP), 2 lignes.",2020,Gus M. Bilirakis,B_tape_tourne
8217762,2020,Gus M. Bilirakis,1,ptr_form,rotated90,typed,sparse,high,"Formulaire officiel tourne 90, tape (GENERAL ELECTRIC). Legere diagonale de scan mais lisible.",2020,Gus M. Bilirakis,B_tape_tourne
8217474,2020,Wm. Lacy Clay,1,ptr_form,rotated90,handwritten,sparse,medium,"Formulaire officiel tourne 90, manuscrit cursif (Landed/Lonard Phillips, Philip Morris Intl).",2020,Wm. Lacy Clay,C_manuscrit
8216957,2020,James Comer,1,ptr_form,rotated90,handwritten,sparse,medium,"Formulaire officiel tourne 90, manuscrit (Bank of America, Stock Tickers). Telephone caviarde (barre noire).",2020,James Comer,C_manuscrit
8217113,2020,James Comer,2,ptr_form,rotated90,handwritten,medium,medium,"Formulaire officiel tourne 90, manuscrit (Community Trust, Westlake Chemical, Apple, Bank of America, Republic Bancorp) sur 2 pages.",2020,James Comer,C_manuscrit
8216969,2020,"Charles J. ""Chuck"" Fleischmann",2,ptr_form,rotated90,typed,medium,high,"Formulaire officiel tourne 90, tape, noms ETF iShares/SPDR/SELECT SECTOR.",2020,"Charles J. ""Chuck"" Fleischmann",B_tape_tourne
8217280,2020,"Charles J. ""Chuck"" Fleischmann",6,ptr_form,rotated90,typed,medium,high,"Formulaire officiel House sur 6 pages, tourne 90deg, dactylographie net (SPDR/iShares ETF). Tres lisible.",2020,"Charles J. ""Chuck"" Fleischmann",B_tape_tourne
8217559,2020,"Charles J. ""Chuck"" Fleischmann",3,ptr_form,rotated90,typed,medium,high,"Formulaire officiel House tourne 90deg, dactylographie net (iShares, SPDR ETF). Tres lisible.",2020,"Charles J. ""Chuck"" Fleischmann",B_tape_tourne
8217737,2020,"Charles J. ""Chuck"" Fleischmann",3,ptr_form,rotated90,typed,medium,high,"Formulaire officiel tourne 90, tape, ETF iShares/SPDR. 3 pages, ~7-8 lignes par page (medium par page).",2020,"Charles J. ""Chuck"" Fleischmann",B_tape_tourne
8217763,2020,"Charles J. ""Chuck"" Fleischmann",2,ptr_form,rotated90,typed,sparse,high,"Formulaire officiel tourne 90, tape (T Rowe Price Real Estate, DFA Real Estate Securities). Page 2 vide.",2020,"Charles J. ""Chuck"" Fleischmann",B_tape_tourne
8217738,2020,James Hagedorn,1,ptr_form,rotated90,handwritten,sparse,medium,"Formulaire officiel tourne 90, manuscrit (Great Society Corp), 1 ligne.",2020,James Hagedorn,C_manuscrit
8217083,2020,George Holding,2,ptr_form,rotated90,handwritten,medium,medium,"Formulaire officiel tourne 90, manuscrit (British American Tobacco, Chevron, Coca-Cola, Johnson & Johnson, Microsoft, Pfizer, Procter & Gamble).",2020,George Holding,C_manuscrit
8217594,2020,George Holding,2,ptr_form,rotated90,handwritten,medium,medium,"Formulaire officiel tourne 90, manuscrit; quelques noms d'actifs un peu denses/serres. Page 2 quasi vide.",2020,George Holding,C_manuscrit
8217671,2020,George Holding,2,ptr_form,rotated90,handwritten,medium,medium,"Formulaire officiel tourne 90, manuscrit (Bristol-Myers Squibb, Chevron, INTL Business Machines).",2020,George Holding,C_manuscrit
8217739,2020,George Holding,2,ptr_form,rotated90,handwritten,medium,medium,"Formulaire officiel tourne 90, manuscrit (AT&T, Bristol-Myers Squibb, Chevron, Philip Morris International).",2020,George Holding,C_manuscrit
8217232,2020,Trey Hollingsworth,2,ptr_form,rotated90,typed,sparse,high,"Formulaire officiel House tourne 90, tape; 1 transaction; page 2 = continuation vierge.",2020,Trey Hollingsworth,B_tape_tourne
8217322,2020,Trey Hollingsworth,2,ptr_form,rotated90,typed,medium,high,"Formulaire officiel tourne 90, tape; entrees options Call/Put Vanguard.",2020,Trey Hollingsworth,B_tape_tourne
8217352,2020,Trey Hollingsworth,2,ptr_form,rotated90,typed,medium,high,"Formulaire officiel tourne 90, tape; entrees Put/Call Vanguard ETF.",2020,Trey Hollingsworth,B_tape_tourne
8217447,2020,Trey Hollingsworth,3,ptr_form,rotated90,typed,medium,high,"Formulaire officiel tourne 90, tape; nombreuses entrees Enterprise Product / Vanguard options.",2020,Trey Hollingsworth,B_tape_tourne
8217634,2020,Trey Hollingsworth,3,ptr_form,rotated90,typed,medium,high,"Formulaire officiel tourne 90, tape; entrees Enterprise Product / Vanguard.",2020,Trey Hollingsworth,B_tape_tourne
8217678,2020,Trey Hollingsworth,1,ptr_form,rotated90,typed,sparse,high,"Formulaire officiel tourne 90, tape; quelques transactions.",2020,Trey Hollingsworth,B_tape_tourne
8217764,2020,Trey Hollingsworth,1,ptr_form,rotated90,typed,sparse,high,"Formulaire officiel tourne 90, tape; quelques transactions.",2020,Trey Hollingsworth,B_tape_tourne
