table,famille,colonne,definition,source,type
membres,A identité,name,mode des variantes de nom (canonique 𝒯 prioritaire),dfx name_canon / dfb,str
membres,A identité,party,mode sur les trades,dfb,str
membres,A identité,chamber,mode sur les trades (un House→Senate a un mode arbitraire),dfb,str
membres,A identité,state,state_district[:2],dfb,str
membres,A identité,congress_first,min(congress),dfb,int
membres,A identité,congress_last,max(congress),dfb,int
membres,A identité,years_in_office,max years_in_office,table_congres_2014_2026.csv,float
membres,A identité,leader,bioguide ∈ leadership_2014_2026.csv (12 postes de parti),leadership CSV,bool
membres,A identité,leader_postes,"postes occupés, séparés par |",leadership CSV,str
membres,A identité,comites,"∪ codes THOMAS racine (4 lettres), séparés par |",committee_membership,str
membres,A identité,comite_cle,∃ trade avec committees_key_flag,dfb,bool
membres,A identité,secteurs_juridiction,"∪ COMITE_GICS[comites], séparés par |",matrice 08 §2.3,str
membres,A identité,n_secteurs_juridiction,cardinal de secteurs_juridiction,dérivé,int
membres,B activité,n_trades_brut,# trades dans 𝒯^brut (134 429),dfb,int
membres,B activité,n_trades,# trades dans 𝒯 (118 029),dfx,int
membres,B activité,n_buy,# achats,dfx,int
membres,B activité,n_sell,# ventes,dfx,int
membres,B activité,buy_share,n_buy / n_trades,dfx,float
membres,B activité,notional_total,"Σ A_j (midpoint, censuré par intervalle)",dfx,float
membres,B activité,notional_buy,Σ A_j achats,dfx,float
membres,B activité,notional_sell,Σ A_j ventes,dfx,float
membres,B activité,taille_med,med(A_j),dfx,float
membres,B activité,pct_1re_fourchette,"P(A_j ≤ 8 000,5) — 1re tranche STOCK Act",dfx,float
membres,B activité,lag_med,med(disclosure − traded) en jours,dfx lag_days,float
membres,B activité,part_late,P(lag > 45 j),flag_late_filing,float
membres,B activité,part_very_late,P(lag > 365 j),flag_very_late_filing,float
membres,B activité,owner_dom,mode(owner normalisé : élu/conjoint/joint/enfant),dfx owner_n,str
membres,B activité,part_conjoint,P(owner = conjoint),dfx,float
membres,B activité,part_self,P(owner = élu),dfx,float
membres,B activité,first_trade,min(τ_j),dfx,date
membres,B activité,last_trade,max(τ_j),dfx,date
membres,B activité,duree_activite_j,(last − first) en jours,dérivé,int
membres,B activité,n_annees_actives,# années avec ≥1 trade,dfx,int
membres,B activité,actif_12m,last_trade ≥ max(cal) − 365 j,dérivé,bool
membres,C portefeuille,reconstruit,série r_m disponible (moteur 05b),wf_ret,bool
membres,C portefeuille,n_days,T_m = # jours actifs,wf_ret,int
membres,C portefeuille,n_tickers,# tickers distincts,dfx,int
membres,C portefeuille,valeur_moy,V̄_m sur jours actifs,passe §4,float
membres,C portefeuille,valeur_fin,V_m(dernier jour),passe §4,float
membres,C portefeuille,hhi,moyenne_t Σ_k w²,concentration() 07,float
membres,C portefeuille,n_eff,1/HHI,concentration() 07,float
membres,C portefeuille,top1,moyenne_t max_k w,concentration() 07,float
membres,C portefeuille,n_pos_moy,# positions ouvertes moyen,concentration() 07,float
membres,C portefeuille,turnover,ΣA_j / (2 V̄) · 252/T,turnover() 07,float
