table,famille,colonne,definition,source,type
membres,identite (§2),name,mode des variantes de nom,§2,str
membres,identite (§2),party,mode sur les trades,§2,str
membres,identite (§2),chamber,mode sur les trades (un House→Senate a un mode arbitraire),§2,str
membres,identite (§2),state,state_district[:2],§2,str
membres,identite (§2),congress_first,n° du premier Congrès tradé (mandat de 2 ans ; 113e = 2013-2014),§2,int
membres,identite (§2),congress_last,n° du dernier Congrès tradé,§2,int
membres,identite (§2),years_in_office,ancienneté (années de mandat),anciennete_2014_2026.csv,float
membres,identite (§2),leader,occupe l'un des 12 postes de direction des partis,leadership_2014_2026.csv,bool
membres,identite (§2),leader_postes,"postes occupés, séparés par |",leadership_2014_2026.csv,str
membres,identite (§2),comites,"∪ codes THOMAS racine (4 lettres), séparés par |",§2,str
membres,identite (§2),comite_cle,∃ trade avec committees_key_flag,§2,bool
membres,identite (§2),secteurs_juridiction,"∪ secteurs GICS supervisés par ses comités, séparés par |",matrice §1,str
membres,identite (§2),n_secteurs_juridiction,cardinal de secteurs_juridiction,§2,int
membres,activite (§3),n_trades_brut,# trades dans 𝒯^brut (134 417),§3,int
membres,activite (§3),n_trades,# trades dans 𝒯 (118 316),§3,int
membres,activite (§3),n_buy,# achats,§3,int
membres,activite (§3),n_sell,# ventes,§3,int
membres,activite (§3),buy_share,n_buy / n_trades,§3,float
membres,activite (§3),notional_total,Σ A_j (milieux de fourchettes),§3,float
membres,activite (§3),notional_buy,Σ A_j achats,§3,float
membres,activite (§3),notional_sell,Σ A_j ventes,§3,float
membres,activite (§3),taille_med,med(A_j),§3,float
membres,activite (§3),pct_1re_fourchette,"P(A_j ≤ 8 000,5) — la plus petite fourchette légale",§3,float
membres,activite (§3),lag_med,"med(δ_j − τ_j) : délai médian de déclaration, en jours",§3,float
membres,activite (§3),part_late,P(lag > 45 j) — au-delà du délai légal,§3,float
membres,activite (§3),part_very_late,P(lag > 365 j),§3,float
membres,activite (§3),owner_dom,mode(owner : élu/conjoint/joint/enfant),§3,str
membres,activite (§3),part_conjoint,P(owner = conjoint),§3,float
membres,activite (§3),part_self,P(owner = élu),§3,float
membres,activite (§3),first_trade,min(τ_j),§3,date
membres,activite (§3),last_trade,max(τ_j),§3,date
membres,activite (§3),duree_activite_j,(last − first) en jours,§3,int
membres,activite (§3),n_annees_actives,# années avec ≥1 trade,§3,int
membres,activite (§3),actif_12m,last_trade ≥ max(cal) − 365 j,§3,bool
membres,portefeuille (§4),reconstruit,série r_m calculable,moteur §1,bool
membres,portefeuille (§4),n_days,T_m = # jours actifs,moteur §1,int
membres,portefeuille (§4),n_tickers,# tickers distincts,§4,int
membres,portefeuille (§4),valeur_moy,V̄_m sur jours actifs,§4,float
membres,portefeuille (§4),valeur_fin,V_m(dernier jour),§4,float
membres,portefeuille (§4),hhi,concentration : moyenne_t Σ_k w²,§4,float
membres,portefeuille (§4),n_eff,1/HHI : nombre équivalent de lignes équipondérées,§4,float
membres,portefeuille (§4),top1,poids moyen de la plus grosse ligne,§4,float
membres,portefeuille (§4),n_pos_moy,# positions ouvertes moyen,§4,float
membres,portefeuille (§4),turnover,rotation : ΣA_j / (2 V̄) · 252/T,§4,float
membres,portefeuille (§4),n_episodes_fermes,# épisodes achat→revente clos (FIFO),§4,int
membres,durees (§5),duree_med_fermee,médiane pondérée-parts des durées closes (j),§5,float
membres,durees (§5),duree_km_med,"durée médiane de détention, Kaplan-Meier (NaN si >50 % jamais revendu)",§5,float
membres,durees (§5),part_ouverte,parts encore détenues / parts totales,§5,float
membres,durees (§5),n_allers_retours_30j,# épisodes clos < 30 j,§5,int
membres,actions_secteurs (§6),top1_ticker,1er ticker par notional d'achat,§6,str
membres,actions_secteurs (§6),top1_part,sa part du notional d'achat,§6,float
membres,actions_secteurs (§6),top2_ticker,2e ticker,§6,str
membres,actions_secteurs (§6),top2_part,sa part,§6,float
membres,actions_secteurs (§6),top3_ticker,3e ticker,§6,str
membres,actions_secteurs (§6),top3_part,sa part,§6,float
membres,actions_secteurs (§6),top10_tickers,"top-10 tickers par notional d'achat, séparés par |",§6,str
membres,actions_secteurs (§6),sect_dom,secteur GICS le plus fréquent des achats,§6,str
membres,actions_secteurs (§6),part_sect_dom,part du notional d'achat du secteur dominant,§6,float
membres,actions_secteurs (§6),sect_info_tech,part du notional d'achat en Information Technology (Σ des 12 = 1),§6,float
